train_id,max_h,min_h,mean_h,sd_h,sum_h,crown_area,crown_perim,dbh,maxmin
44,32.11999893,10.84000015,23.152085,4.296845023,5440.739975,37.6,34.4,46.5,21.27999878
45,31.85000038,5.860000134,21.626278,7.567473376,4822.659993,35.68,41.6,43,25.99000025
46,31.55999947,12.5199995,22.13908445,5.12949443,3143.749991,22.72,25.6,21.5,19.03999997
47,31.45999908,8.449999809,20.36968249,6.433595283,1283.289997,10.08,16.8,25.5,23.00999927
48,31.39999962,5.099999905,25.03229658,4.615288475,5231.749984,33.44,41.6,27,26.29999972
49,31.29000092,5.389999866,22.99357135,4.405377371,6760.109976,47.04,32,40.5,25.90000105
50,30.89999962,13.34000015,22.30763557,3.927026842,5755.369977,41.28,36,48.5,17.55999947
51,30.51000023,11.03999996,23.89244804,3.794744562,5758.079978,38.56,36.8,51.5,19.47000027
52,30.51000023,21.69000053,24.84909092,2.091809186,546.6800003,3.52,15.2,45.5,8.8199997
53,30.47999954,14.59000015,23.22374995,3.884008092,3344.219993,23.04,33.6,60,15.88999939
54,30.45999908,5.150000095,27.34447345,4.677919094,1039.089991,6.08,12.8,55.5,25.30999899
55,30.03999901,5.639999866,25.24085262,3.517207708,3256.069988,20.64,31.2,51,24.39999914
56,29.36000061,8.909999847,18.84052625,6.80004276,2505.789991,21.28,29.6,60,20.45000076
57,28.75,9.539999962,20.5400869,4.18004802,4724.219987,36.8,37.6,42.5,19.21000004
58,28.27000046,16.98999977,23.66385823,2.710381346,3005.309996,20.32,28,21.5,11.28000069
59,28.15999985,16.21999931,23.33094331,3.929430707,2473.07999,16.96,22.4,34.5,11.94000054
60,27.98999977,11.10999966,20.94886476,3.832122702,3875.539981,29.6,28,48.5,16.88000011
61,27.88999939,13.64999962,21.95476817,3.545218353,3315.169993,24.16,27.2,43,14.23999977
62,27.76000023,8.93999958,23.31292678,3.452370473,4779.149989,32.8,32.8,33,18.82000065
63,27.37000084,10.89999962,21.42254898,4.819632454,2185.099996,16.32,24,31,16.47000122
64,27.30999947,8.140000343,19.82395447,5.369043266,4361.269982,35.2,36,29,19.16999913
65,27.25,8.460000038,22.61556383,3.249073878,3007.869989,21.28,22.4,27,18.78999996
66,26.93000031,14,21.28967589,3.368027455,4598.569992,34.56,32.8,54,12.93000031
67,26.92000008,11.27999973,22.41049296,3.320982981,3182.290001,22.72,26.4,59.5,15.64000035
68,26.70999908,10.35000038,20.41542965,3.160342003,5226.349991,40.96,32.8,63.5,16.3599987
69,26.61000061,15.81999969,22.56397426,2.815067199,1759.989992,12.48,26.4,55.5,10.79000092
70,26.15999985,13.7699995,21.98255988,2.654741953,2747.819984,20,29.6,51,12.39000035
71,25.98999977,6.559999943,19.33487181,4.929684451,754.0600004,6.24,1.6,27,19.42999983
72,25.87999916,14.59000015,21.47872332,3.20255025,1009.499996,7.52,20.8,35.5,11.28999901
73,25.76000023,18.84000015,23.85888882,1.700264645,2147.299994,14.4,20.8,14.5,6.92000008
74,25.76000023,8.529999733,18.57730767,4.330314984,3381.069996,29.12,28,34.5,17.2300005
75,25.57999992,22.38999939,24.08407409,0.968171414,650.2700005,4.32,11.2,14.5,3.19000053
76,25.28000069,8.029999733,20.03556968,3.675840351,3165.620009,25.28,31.2,34,17.25000096
77,25.13999939,13.81999969,22.66825391,2.153113758,1428.099997,10.08,22.4,45,11.3199997
78,24.88999939,12.36999989,18.0890322,3.611815903,2803.799992,24.8,27.2,45,12.5199995
79,24.87999916,17.20000076,22.33065926,1.655345411,2032.089993,14.56,22.4,39,7.6799984
80,24.80999947,5.920000076,19.24132775,3.596999796,4637.159987,38.56,39.2,44.5,18.88999939
81,24.17000008,8.779999733,21.01664117,2.154085781,2753.179993,20.96,25.6,31,15.39000035
82,24.10000038,9.949999809,17.52092773,3.759218267,3399.059979,31.04,33.6,44,14.15000057
83,24.06999969,11.25,19.50441662,2.822786551,2340.529994,19.2,23.2,41.5,12.81999969
84,23.97999954,16.05999947,21.41393256,2.146181941,1905.839998,14.24,24,14.5,7.92000007
85,23.95000076,5.360000134,17.66897055,4.03563761,1201.489997,10.88,16.8,25.5,18.59000063
86,23.85000038,8.579999924,18.85555552,3.13284453,1527.299997,12.96,19.2,29.5,15.27000046
87,23.78000069,19.39999962,21.50907895,1.107444242,1634.690001,12.16,1.6,48.5,4.38000107
88,23.61000061,10.07999992,14.52568965,2.643628008,842.4899998,9.28,18.4,48.5,13.53000069
89,23.52000046,16.07999992,20.14209867,1.903162344,1631.509993,12.96,18.4,42,7.44000054
90,23.44000053,6.759999752,18.48254233,1.932293142,3271.409993,28.32,28,34.5,16.68000078
91,23.32999992,6.130000114,16.63991225,5.114332505,1896.949996,18.24,25.6,31,17.19999981
92,23.27000046,15.14000034,18.37999997,1.997025471,2279.119996,19.84,28,36.5,8.13000012
93,23.03999901,16.20000076,20.25749999,1.697726768,1296.48,10.24,1.6,31,6.83999825
94,22.60000038,5.400000095,17.42339612,4.355847024,3693.759976,33.92,36,27,17.20000029
95,22.51000023,5.920000076,16.02131776,4.461988641,2066.74999,20.64,22.4,28,16.59000015
96,22.29999924,10.23999977,18.38249997,2.948989822,2132.369996,18.56,25.6,29.5,12.05999947
97,22.09000015,6.519999981,16.79399987,5.061204245,755.7299943,7.2,12,26.5,15.57000017
98,22.03999901,6.529999733,17.25902169,3.198798792,3175.659991,29.44,38.4,24.5,15.50999928
99,21.79000092,11.59000015,18.37723078,2.984287821,1194.52,10.4,20,32.5,10.20000077
100,21.01000023,15.93999958,18.7030768,1.657087697,243.1399984,2.08,7.2,23,5.07000065
